Sample_ID,Heterozygous,Homozygous,Missing
BKN_001,12.51,75.38,12.11
BKN_002,9.16,80.26,10.58
BKN_003,1.32,85.25,13.43
BKN_004,1.32,87.18,11.5
BKN_005,4.88,82.81,12.31
BKN_006,1.53,83.42,15.06
BKN_007,2.95,82.3,14.75
BKN_008,5.49,84.03,10.48
BKN_009,1.02,91.15,7.83
BKN_010,0.71,88.5,10.78
BKN_011,3.26,84.84,11.9
BKN_012,1.83,86.27,11.9
BKN_013,18.62,65.11,16.28
BKN_014,1.32,86.88,11.8
BKN_015,1.32,88.2,10.48
BKN_016,0.61,90.23,9.16
BKN_017,0.1,88.3,11.6
BKN_018,0.2,91.35,8.44
BKN_019,1.73,86.98,11.29
BKN_020,1.93,86.47,11.6
BKN_021,9.87,80.06,10.07
BKN_022,1.42,89.73,8.85
BKN_023,0.71,87.89,11.39
BKN_024,11.19,77.52,11.29
BKN_025,1.02,81.89,17.09
BKN_026,1.42,89.42,9.16
BKN_027,2.64,81.89,15.46
BKN_028,7.93,81.18,10.89
BKN_029,1.12,88.1,10.78
BKN_030,0.81,90.84,8.34
BKN_031,1.02,91.05,7.93
BKN_032,1.22,89.62,9.16
BKN_033,1.53,87.39,11.09
BKN_034,1.12,87.49,11.39
BKN_035,1.53,86.57,11.9
BKN_036,1.02,82.5,16.48
BKN_037,1.22,78.54,20.24
BKN_038,0.81,81.59,17.6
BKN_039,0.92,82.5,16.58
CU0001,0.31,89.52,10.17
CU0002,0.2,86.88,12.92
CU0003,0.2,89.32,10.48
CU0004,0.2,87.39,12.41
CU0005,0.71,89.11,10.17
CU0006,0.1,86.06,13.84
CU0007,0.2,89.83,9.97
CU0008,0.1,92.47,7.43
CU0009,0.41,88.91,10.68
CU0010,0.2,91.86,7.93
CU0011,0.2,89.42,10.38
CU0012,0.41,91.76,7.83
CU0013,0.2,84.44,15.36
CU0014,0.2,88.1,11.7
CU0015,0.1,86.78,13.12
CU0016,0.41,85.35,14.24
CU0017,0.31,92.57,7.12
CU0018,0.31,91.66,8.04
CU0019,0.2,87.39,12.41
CU0020,0.2,92.47,7.32
CU0021,0.2,87.28,12.51
CU0022,0.1,92.78,7.12
CU0023,0.1,83.01,16.89
CU0024,0.2,87.69,12.11
CU0025,0.1,92.47,7.43
CU0026,0.2,92.47,7.32
CU0027,0.31,91.76,7.93
CU0028,0.2,59.72,40.08
CU0029,0.51,88.81,10.68
CU0030,0.1,82.6,17.29
CU0031,0.31,91.86,7.83
CU0032,0.41,92.07,7.53
CU0033,0,86.78,13.22
CU0034,0.31,91.96,7.73
CU0035,0.1,87.18,12.72
CU0036,0.1,92.17,7.73
CU0037,0.2,87.69,12.11
CU0038,0.1,89.52,10.38
CU0039,0.2,89.22,10.58
CU0040,0.41,87.08,12.51
CU0041,0.31,91.35,8.34
CU0042,0.1,89.42,10.48
CU0043,0.31,89.83,9.87
CU0044,0.2,88.1,11.7
CU0045,0.1,86.47,13.43
CU0046,0.71,88.61,10.68
CU0047,0.2,90.34,9.46
CU0048,0.2,92.27,7.53
CU0049,0.1,91.66,8.24
CU0050,0.31,92.17,7.53
CU0051,0.92,91.25,7.83
CU0052,0.51,89.32,10.17
CU0053,0.2,89.42,10.38
CU0054,0.2,91.86,7.93
CU0055,0.2,87.89,11.9
CU0056,0.2,92.78,7.02
CU0057,0.1,89.52,10.38
CU0058,0.51,88.4,11.09
CU0059,2.24,85.66,12.11
CU0060,1.83,88.91,9.26
CU0061,0.41,91.56,8.04
CU0062,0.41,91.86,7.73
CU0063,0.2,90.03,9.77
CU0064,0.51,88.71,10.78
CU0065,0.2,92.07,7.73
CU0066,0.1,87.79,12.11
CU0067,1.12,74.06,24.82
CU0068,0.31,86.57,13.12
CU0069,1.32,88.2,10.48
CU0070,0.1,89.32,10.58
CU0071,1.93,87.89,10.17
CU0072,1.22,90.54,8.24
CU0073,0.31,91.96,7.73
CU0074,0.41,91.56,8.04
CU0075,0.2,91.35,8.44
CU0076,0.1,89.73,10.17
CU0077,0.1,92.37,7.53
CU0078,0.1,86.16,13.73
CU0079,0.51,90.13,9.36
CU0080,0.1,86.78,13.12
CU0081,0.2,87.79,12
CU0082,0.2,92.37,7.43
CU0083,0.1,92.57,7.32
CU0084,0.41,86.57,13.02
CU0085,0,92.17,7.83
CU0086,0.2,88.5,11.29
CU0087,0.2,84.23,15.56
CU0088,0.1,90.23,9.66
CU0089,0.2,91.05,8.75
CU0090,0.2,88.1,11.7
CU0091,0.1,89.62,10.27
CU0092,0.41,89.83,9.77
CU0093,0.2,92.47,7.32
CU0094,0.92,86.57,12.51
CU0095,0.2,88.4,11.39
CU0096,0.2,89.83,9.97
CU0097,0.2,90.23,9.56
CU0098,0.31,91.66,8.04
CU0099,0.31,64.29,35.4
CU0100,0.41,89.11,10.48
CU0101,0.31,69.18,30.52
CU0102,0.31,91.76,7.93
CU0103,0.1,90.03,9.87
CU0104,0.1,90.03,9.87
